"trn_filename","trn_assigned","trn_completed","rev1_assigned","rev1_completed","rev2_filename","rev2_assigned","rev2_completed"
"subs_000000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_000500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_001000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_001500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_002000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_002500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_003000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_003500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_004000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_004500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_005000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_005500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_010000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_010500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_011000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_011500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_012000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_012500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_013000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_013500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_014000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_014500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_015000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_015500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_020000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_020500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_021000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_021500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_022000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_022500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_023000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_023500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_024000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_024500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_025000.srt",NA,NA,NA,NA,NA,NA,NA
"subs_025500.srt",NA,NA,NA,NA,NA,NA,NA
"subs_030000.srt",NA,NA,NA,NA,NA,NA,NA
